,0,1,2,3,4,5,location,area,classification,salary
16,Administration Assistant - Mt Wellington,https://www.seek.co.nz/job/50638817?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Harvey Norman,location: AucklandAucklandarea: Auckland CentralAuckland Central,"4h ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
17,Part-Time Health & Disability Administrative Assistant,https://www.seek.co.nz/job/50610748?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,LIFEWISE,"location: AucklandAucklandarea: Auckland CentralAuckland Central,$20 - $24.99 per hour","6d ago,at",$20 - $24.99 per hour,AucklandAuckland," Auckland CentralAuckland Central,$20 - $24.99 per hour",$20 - $24.99 per hour,20 - 
18,"Office Coordinator, Whangarei Youth Space",https://www.seek.co.nz/job/50633756?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Whangarei Youth Space,location: NorthlandNorthlandarea: WhangareiWhangarei,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,NorthlandNorthland, WhangareiWhangarei, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
19,Administrator,https://www.seek.co.nz/job/50604829?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,unknown,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"7d ago,at,Private Advertiser",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,ManawatuManawatu, Rest of ManawatuRest of Manawatu, Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,
20,Administration Officer - Part Time,https://www.seek.co.nz/job/50637525?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,HiFlo Pumps Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"2d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
21,Part-Time Admin/Accounts Person,https://www.seek.co.nz/job/50631111?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,People Passion,location: AucklandAucklandarea: Papakura & FranklinPapakura & Franklin,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Papakura & FranklinPapakura & Franklin, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
22,Business Support Administrator,https://www.seek.co.nz/job/50591178?type=promoted#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,S&L Land Development and Design Specialists,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,"Featured,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,Bay of PlentyBay of Plenty, TaurangaTauranga, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
23,Reception/Administrator,https://www.seek.co.nz/job/50556340?type=promoted#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Fishing and Leisure Group Limited,"location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,$19 to $22 per hour","Featured,at",$19 to $22 per hour,AucklandAuckland," Rodney & North ShoreRodney & North Shore,$19 to $22 per hour",$19 to $22 per hour,19 to 
24,Office Co-Ordinator,https://www.seek.co.nz/job/50632905?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Paeroa Farm Services Ltd,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,WaikatoWaikato, Rest of WaikatoRest of Waikato, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
25,Office Administrator,https://www.seek.co.nz/job/50621389?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Brant Homes Limited,"location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,$20 - $24.99 per hour","4d ago,at",$20 - $24.99 per hour,AucklandAuckland," Manukau & East AucklandManukau & East Auckland,$20 - $24.99 per hour",$20 - $24.99 per hour,20 - 
26,Administration & Customer Service,https://www.seek.co.nz/job/50637747?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,ACE,location: AucklandAucklandarea: Auckland CentralAuckland Central,"2d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
27,Administrator,https://www.seek.co.nz/job/50631960?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,EnviroWaste Services Limited,location: CanterburyCanterburyarea: ChristchurchChristchurch,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
28,Receptionist / Administrator,https://www.seek.co.nz/job/50636107?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,PROGRESSIVE MEATS LIMITED,location: Hawkes BayHawkes Bayarea: HastingsHastings,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,Hawkes BayHawkes Bay, HastingsHastings, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
29,Administrator - Street To Home,https://www.seek.co.nz/job/50638937?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Auckland City Mission,location: AucklandAucklandarea: Auckland CentralAuckland Central,"4h ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
30,Administrative Support,https://www.seek.co.nz/job/50606027?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Commercial and Rural Insurance Brokers,location: OtagoOtagoarea: Queenstown & WanakaQueenstown & Wanaka,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,OtagoOtago, Queenstown & WanakaQueenstown & Wanaka, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
31,Medical Receptionist,https://www.seek.co.nz/job/50633231?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Brooklyn Medical Centre,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
32,Receptionist / Office Administration,https://www.seek.co.nz/job/50620963?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,foley group architecture,location: CanterburyCanterburyarea: ChristchurchChristchurch,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
33,People And Culture Administrator,https://www.seek.co.nz/job/50617769?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,OceanaGold (New Zealand) Ltd,location: OtagoOtagoarea: Rest of OtagoRest of Otago,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,OtagoOtago, Rest of OtagoRest of Otago, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
34,Senior Support Officer,https://www.seek.co.nz/job/50628770?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,WorkSafe New Zealand,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
35,Administrator,https://www.seek.co.nz/job/50613404?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Wise Group,location: WaikatoWaikatoarea: HamiltonHamilton,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WaikatoWaikato, HamiltonHamilton, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
36,Office Administrator,https://www.seek.co.nz/job/50621878?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Best Mates Pet Food,"location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,$20 - $24.99 per hour","4d ago,at",$20 - $24.99 per hour,WaikatoWaikato," Rest of WaikatoRest of Waikato,$20 - $24.99 per hour",$20 - $24.99 per hour,20 - 
37,Provider Registration Administrator - Lower Hutt,https://www.seek.co.nz/job/50638763?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,ACC,location: WellingtonWellingtonarea: Hutt ValleyHutt Valley,"5h ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington, Hutt ValleyHutt Valley, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
38,Receptionist / Admin Support,https://www.seek.co.nz/job/50621050?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,STOP Services,location: CanterburyCanterburyarea: ChristchurchChristchurch,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
39,Colliers Rural - Office Administrator (Part Time),https://www.seek.co.nz/job/50615101?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Private Group,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,Bay of PlentyBay of Plenty, RotoruaRotorua, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
40,Part Time Administrator,https://www.seek.co.nz/job/50628924?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Heyden Farms Ltd,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WaikatoWaikato, Rest of WaikatoRest of Waikato, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
41,Operations Administrator,https://www.seek.co.nz/job/50631460?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Port Taranaki Limited,location: TaranakiTaranakiarea: New PlymouthNew Plymouth,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,TaranakiTaranaki, New PlymouthNew Plymouth, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
42,Receptionist / Accounts Administrator,https://www.seek.co.nz/job/50638893?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Robertson Motor Group,"location: ManawatuManawatuarea: Palmerston NorthPalmerston North,$40,000 - $49,999","4h ago,at","$40,000 - $49,999",ManawatuManawatu," Palmerston NorthPalmerston North,$40,000 - $49,999","$40,000 - $49,999","40,000 - "
43,Office Administrators,https://www.seek.co.nz/job/50628972?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,SOLGM,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
44,Accounts And Office Assistant,https://www.seek.co.nz/job/50564208?type=promoted#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Geeks on Wheels,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"Featured,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
45,Administrator/Secretarial Support,https://www.seek.co.nz/job/50529232?type=promoted#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,The Heart Group,location: AucklandAucklandarea: Auckland CentralAuckland Central,"Featured,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",AucklandAuckland, Auckland CentralAuckland Central," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
46,Supporter Care & Database Administrator,https://www.seek.co.nz/job/50623039?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,SPCA,location: AucklandAucklandarea: Waitakere & West AucklandWaitakere & West Auckland,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Data Entry & Word ProcessingData Entry & Word Processing,AucklandAuckland, Waitakere & West AucklandWaitakere & West Auckland, Administration & Office SupportAdministration & Office SupportsubClassification: Data Entry & Word ProcessingData Entry & Word Processing,
47,Personal Assistant/Administrator,https://www.seek.co.nz/job/50638815?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Department of Conservation,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4h ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
48,Administrative And Organisational Superstar,https://www.seek.co.nz/job/50633998?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Grit Engineering Ltd,"location: NorthlandNorthlandarea: WhangareiWhangarei,$25 per hour","3d ago,at",$25 per hour,NorthlandNorthland," WhangareiWhangarei,$25 per hour",$25 per hour,25 per hour
49,Office Assistant,https://www.seek.co.nz/job/50623434?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,NetYourJob,location: CanterburyCanterburyarea: Timaru & South CanterburyTimaru & South Canterbury,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,CanterburyCanterbury, Timaru & South CanterburyTimaru & South Canterbury, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
50,Administrator (Including School Bus Co-Ordinator),https://www.seek.co.nz/job/50630931?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Saint Kentigern Trust,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Manukau & East AucklandManukau & East Auckland, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
51,Office Administrator,https://www.seek.co.nz/job/50597891?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Fourth Element,location: Hawkes BayHawkes Bayarea: HastingsHastings,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,Hawkes BayHawkes Bay, HastingsHastings, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
52,Administration Specialist,https://www.seek.co.nz/job/50610033?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,"GJ Gardner Homes, Waikato",location: WaikatoWaikatoarea: HamiltonHamilton,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WaikatoWaikato, HamiltonHamilton, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
53,Administration Officer,https://www.seek.co.nz/job/50602547?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Stauff Corporation Pty Ltd,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Manukau & East AucklandManukau & East Auckland, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
54,Business Support Officer,https://www.seek.co.nz/job/50606822?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Wellington City Council,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
55,Customer Services And Administration Officer,https://www.seek.co.nz/job/50606374?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Taranaki Regional Council,location: TaranakiTaranakiarea: Rest of TaranakiRest of Taranaki,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,TaranakiTaranaki, Rest of TaranakiRest of Taranaki, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
56,Clinical Administrator (Job Share),https://www.seek.co.nz/job/50631149?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Te Omanga Hospice,location: WellingtonWellingtonarea: Hutt ValleyHutt Valley,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington, Hutt ValleyHutt Valley, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
57,Office / Client Administrator,https://www.seek.co.nz/job/50605173?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Perpetual Guardian,"location: WaikatoWaikatoarea: HamiltonHamilton,Includes life and health insurance","6d ago,at",Includes life and health insurance,WaikatoWaikato," HamiltonHamilton,Includes life and health insurance",Includes life and health insurance,
58,Office / Administration Manager,https://www.seek.co.nz/job/50613327?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,"location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,$60 000 - $70 000 per annum","5d ago,at",$60 000 - $70 000 per annum,Bay of PlentyBay of Plenty," TaurangaTauranga,$60 000 - $70 000 per annum",$60 000 - $70 000 per annum,60 000 - 
59,Full Time Receptionist/Administrator,https://www.seek.co.nz/job/50617901?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Professionals Real Estate - Papatoetoe,"location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,$20.00 per hour","5d ago,at",$20.00 per hour,AucklandAuckland," Manukau & East AucklandManukau & East Auckland,$20.00 per hour",$20.00 per hour,20.00 per hour
60,Administrator,https://www.seek.co.nz/job/50582301?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,unknown,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,"11d ago,at,Private Advertiser",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,Bay of PlentyBay of Plenty, TaurangaTauranga, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
