,job_name,job_link,post_date,area,location,classification,sub_classification,salary
10,Administration Officer,https://www.seek.co.nz/job/50600186?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-10,Rest of West Coast,West Coast,Administration & Office Support,Administrative Assistants,
11,Data Entry,https://www.seek.co.nz/job/50616188?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-12,Nelson,Tasman,Administration & Office Support,Data Entry & Word Processing,
12,Office Admin Assistant (10Hrs Per Week),https://www.seek.co.nz/job/50597141?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-09,Manukau & East Auckland,Auckland,,,$20 per hour
13,Office Administrator,https://www.seek.co.nz/job/50632818?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-14,Wellington Central,Wellington,Administration & Office Support,Office Management,
14,Office Administrator,https://www.seek.co.nz/job/50632185?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-14,Rest of Canterbury,Canterbury,Administration & Office Support,Administrative Assistants,
15,Customer Service Officer,https://www.seek.co.nz/job/50614282?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-12,Timaru & South Canterbury,Canterbury,Administration & Office Support,Client & Sales Administration,
16,Administration Assistant - Mt Wellington,https://www.seek.co.nz/job/50638817?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-17,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
17,Part-Time Health & Disability Administrative Assistant,https://www.seek.co.nz/job/50610748?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-11,Auckland Central,Auckland,,,$20 - $24.99 per hour
18,"Office Coordinator, Whangarei Youth Space",https://www.seek.co.nz/job/50633756?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-14,Whangarei,Northland,Administration & Office Support,Administrative Assistants,
19,Administrator,https://www.seek.co.nz/job/50604829?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-10,Rest of Manawatu,Manawatu,Administration & Office Support,Other,
20,Administration Officer - Part Time,https://www.seek.co.nz/job/50637525?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-15,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
21,Part-Time Admin/Accounts Person,https://www.seek.co.nz/job/50631111?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,2023-05-14,Papakura & Franklin,Auckland,Administration & Office Support,Administrative Assistants,
22,Business Support Administrator,https://www.seek.co.nz/job/50591178?type=promoted#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,unknown,Tauranga,Bay of Plenty,Administration & Office Support,Administrative Assistants,
23,Reception/Administrator,https://www.seek.co.nz/job/50556340?type=promoted#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,unknown,Rodney & North Shore,Auckland,,,$19 to $22 per hour
24,Office Co-Ordinator,https://www.seek.co.nz/job/50632905?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-14,Rest of Waikato,Waikato,Administration & Office Support,Office Management,
25,Office Administrator,https://www.seek.co.nz/job/50621389?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-13,Manukau & East Auckland,Auckland,,,$20 - $24.99 per hour
26,Administration & Customer Service,https://www.seek.co.nz/job/50637747?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-15,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
27,Administrator,https://www.seek.co.nz/job/50631960?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-14,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
28,Receptionist / Administrator,https://www.seek.co.nz/job/50636107?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-14,Hastings,Hawkes Bay,Administration & Office Support,Administrative Assistants,
29,Administrator - Street To Home,https://www.seek.co.nz/job/50638937?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-17,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
30,Administrative Support,https://www.seek.co.nz/job/50606027?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-11,Queenstown & Wanaka,Otago,Administration & Office Support,Administrative Assistants,
31,Medical Receptionist,https://www.seek.co.nz/job/50633231?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-14,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
32,Receptionist / Office Administration,https://www.seek.co.nz/job/50620963?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-13,Christchurch,Canterbury,Administration & Office Support,Receptionists,
33,People And Culture Administrator,https://www.seek.co.nz/job/50617769?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-12,Rest of Otago,Otago,Administration & Office Support,Client & Sales Administration,
34,Senior Support Officer,https://www.seek.co.nz/job/50628770?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-14,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
35,Administrator,https://www.seek.co.nz/job/50613404?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-12,Hamilton,Waikato,Administration & Office Support,Administrative Assistants,
36,Office Administrator,https://www.seek.co.nz/job/50621878?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-13,Rest of Waikato,Waikato,,,$20 - $24.99 per hour
37,Provider Registration Administrator - Lower Hutt,https://www.seek.co.nz/job/50638763?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-17,Hutt Valley,Wellington,Administration & Office Support,Administrative Assistants,
38,Receptionist / Admin Support,https://www.seek.co.nz/job/50621050?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-13,Christchurch,Canterbury,Administration & Office Support,Receptionists,
39,Colliers Rural - Office Administrator (Part Time),https://www.seek.co.nz/job/50615101?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-12,Rotorua,Bay of Plenty,Administration & Office Support,Administrative Assistants,
40,Part Time Administrator,https://www.seek.co.nz/job/50628924?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-14,Rest of Waikato,Waikato,Administration & Office Support,Administrative Assistants,
41,Operations Administrator,https://www.seek.co.nz/job/50631460?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-14,New Plymouth,Taranaki,Administration & Office Support,Administrative Assistants,
42,Receptionist / Accounts Administrator,https://www.seek.co.nz/job/50638893?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-17,Palmerston North,Manawatu,,,"$40,000 - $49,999"
43,Office Administrators,https://www.seek.co.nz/job/50628972?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,2023-05-14,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
44,Accounts And Office Assistant,https://www.seek.co.nz/job/50564208?type=promoted#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,unknown,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
45,Administrator/Secretarial Support,https://www.seek.co.nz/job/50529232?type=promoted#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,unknown,Auckland Central,Auckland,Administration & Office Support,"PA, EA & Secretarial",
46,Supporter Care & Database Administrator,https://www.seek.co.nz/job/50623039?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-13,Waitakere & West Auckland,Auckland,Administration & Office Support,Data Entry & Word Processing,
47,Personal Assistant/Administrator,https://www.seek.co.nz/job/50638815?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-17,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
48,Administrative And Organisational Superstar,https://www.seek.co.nz/job/50633998?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-14,Whangarei,Northland,,,$25 per hour
49,Office Assistant,https://www.seek.co.nz/job/50623434?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-13,Timaru & South Canterbury,Canterbury,Administration & Office Support,Administrative Assistants,
50,Administrator (Including School Bus Co-Ordinator),https://www.seek.co.nz/job/50630931?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-14,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
51,Office Administrator,https://www.seek.co.nz/job/50597891?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-10,Hastings,Hawkes Bay,Administration & Office Support,Office Management,
52,Administration Specialist,https://www.seek.co.nz/job/50610033?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-11,Hamilton,Waikato,Administration & Office Support,Administrative Assistants,
53,Administration Officer,https://www.seek.co.nz/job/50602547?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-10,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
54,Business Support Officer,https://www.seek.co.nz/job/50606822?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-11,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
55,Customer Services And Administration Officer,https://www.seek.co.nz/job/50606374?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-11,Rest of Taranaki,Taranaki,Administration & Office Support,Administrative Assistants,
56,Clinical Administrator (Job Share),https://www.seek.co.nz/job/50631149?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-14,Hutt Valley,Wellington,Administration & Office Support,Administrative Assistants,
57,Office / Client Administrator,https://www.seek.co.nz/job/50605173?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-11,Hamilton,Waikato,,,
58,Office / Administration Manager,https://www.seek.co.nz/job/50613327?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-12,Tauranga,Bay of Plenty,,,$60 000 - $70 000 per annum
59,Full Time Receptionist/Administrator,https://www.seek.co.nz/job/50617901?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-12,Manukau & East Auckland,Auckland,,,$20.00 per hour
60,Administrator,https://www.seek.co.nz/job/50582301?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-06,Tauranga,Bay of Plenty,Administration & Office Support,Office Management,
61,Administration Support - Health (Contract),https://www.seek.co.nz/job/50616292?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-12,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
62,Accounts Administrator,https://www.seek.co.nz/job/50631687?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-14,New Plymouth,Taranaki,Administration & Office Support,Administrative Assistants,
63,Office / Client Administrator,https://www.seek.co.nz/job/50597000?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-09,Auckland Central,Auckland,,,
64,Administration Specialist - Construction,https://www.seek.co.nz/job/50638765?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-17,Rodney & North Shore,Auckland,Administration & Office Support,Administrative Assistants,
65,Receptionist,https://www.seek.co.nz/job/50632280?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,2023-05-14,Dunedin,Otago,Administration & Office Support,Receptionists,
66,Office Administrator / Kiripaepae,https://www.seek.co.nz/job/50597146?type=promoted#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,unknown,Rest of Bay of Plenty,Bay of Plenty,,,$20 - $24.99 per hour
67,Administrator,https://www.seek.co.nz/job/50582301?type=promoted#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,unknown,Tauranga,Bay of Plenty,Administration & Office Support,Office Management,
68,Information And Sustainable Transport Assistant,https://www.seek.co.nz/job/50613258?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-12,Blenheim,Marlborough,Administration & Office Support,Data Entry & Word Processing,
69,Team Member Customer Service,https://www.seek.co.nz/job/50629895?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-14,Rodney & North Shore,Auckland,Administration & Office Support,Receptionists,
70,Office Administrator- Flexible Fixed-Term,https://www.seek.co.nz/job/50605913?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-11,Hamilton,Waikato,Administration & Office Support,Administrative Assistants,
71,Administrator,https://www.seek.co.nz/job/50607763?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-11,Rodney & North Shore,Auckland,Administration & Office Support,Other,
72,Service Delivery Administrator-Wiri,https://www.seek.co.nz/job/50599778?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-10,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
73,Office Assistant,https://www.seek.co.nz/job/50629874?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-14,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
74,Administration Manager,https://www.seek.co.nz/job/50625535?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-13,Rotorua,Bay of Plenty,Administration & Office Support,Office Management,
75,Personal Assistant & Office Manager,https://www.seek.co.nz/job/50631694?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-14,Christchurch,Canterbury,,,"$55,000 - $69,999"
76,Customer Care Administrator,https://www.seek.co.nz/job/50456853?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-14,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
77,Office Administrator/ Receptionist,https://www.seek.co.nz/job/50607720?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-11,Wellington Central,Wellington,,,$20.00 per hour.
78,Office Administrator,https://www.seek.co.nz/job/50607500?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-11,Papakura & Franklin,Auckland,,,$20 - $24.99 per hour
79,Casual Administrator,https://www.seek.co.nz/job/50613331?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-12,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
80,Customer Services Officer,https://www.seek.co.nz/job/50614001?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-12,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
81,Remote Receptionist / Front Of Hours / Accounts Clerk,https://www.seek.co.nz/job/50631407?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-14,Manukau & East Auckland,Auckland,,,$21 per hour
82,Development Contributions Assessment Officer,https://www.seek.co.nz/job/50629996?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-14,Hamilton,Waikato,,,"$55,000 - $64,999"
83,Customer Services,https://www.seek.co.nz/job/50622331?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-13,Waitakere & West Auckland,Auckland,Administration & Office Support,Client & Sales Administration,
84,Administrator/Booking  Clerk -  Cardiothoracic,https://www.seek.co.nz/job/50607526?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-11,Hamilton,Waikato,Administration & Office Support,Administrative Assistants,
85,Senior Administration Officer,https://www.seek.co.nz/job/50614537?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-12,Wellington Central,Wellington,Administration & Office Support,Other,
86,Office Administrator (3 Months),https://www.seek.co.nz/job/50625380?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-13,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
87,Administrator/Receptionist,https://www.seek.co.nz/job/50599184?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,2023-05-10,Thames & Coromandel,Waikato,Administration & Office Support,Receptionists,
88,Administrator,https://www.seek.co.nz/job/50515557?type=promoted#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,unknown,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
89,Office Administrator - Full-Time Ellerslie/Mt Wellington,https://www.seek.co.nz/job/50602110?type=promoted#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,unknown,Auckland Central,Auckland,,,"$50,000 - $55,000 plus benefits"
90,Bilingual Office Administrator,https://www.seek.co.nz/job/50602178?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-10,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
91,"Administrator, Intelligence & Reporting",https://www.seek.co.nz/job/50639360?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-17,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
92,Receptionist,https://www.seek.co.nz/job/50613682?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-12,Dunedin,Otago,Administration & Office Support,Receptionists,
93,Receptionist,https://www.seek.co.nz/job/50613649?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-12,Dunedin,Otago,Administration & Office Support,Receptionists,
94,Client Assistant / Administrator,https://www.seek.co.nz/job/50605343?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-11,Palmerston North,Manawatu,,,
95,Export Admin Support,https://www.seek.co.nz/job/50583111?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-06,Hastings,Hawkes Bay,Administration & Office Support,Administrative Assistants,
96,Contract Administrator / Reception,https://www.seek.co.nz/job/50624551?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-13,Rodney & North Shore,Auckland,Administration & Office Support,Contracts Administration,
97,Administration,https://www.seek.co.nz/job/50613350?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-12,Auckland Central,Auckland,,,"$45,000 - $49,999"
98,Personal Assistant,https://www.seek.co.nz/job/50631495?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-14,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
99,Administration Manager,https://www.seek.co.nz/job/50591139?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-07,Rodney & North Shore,Auckland,Administration & Office Support,Office Management,
100,Client Care / Reception,https://www.seek.co.nz/job/50631933?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-14,Rest of Waikato,Waikato,Administration & Office Support,Receptionists,
101,Administrator / Marketing Support,https://www.seek.co.nz/job/50631418?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-14,New Plymouth,Taranaki,Administration & Office Support,Administrative Assistants,
102,Personal Assistant,https://www.seek.co.nz/job/50632492?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-14,Palmerston North,Manawatu,Administration & Office Support,"PA, EA & Secretarial",
103,Office Administrator / Pa,https://www.seek.co.nz/job/50610172?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-11,Wellington Central,Wellington,,,"$55,000 - $60,000 per annum pro rata"
104,Accounts & Office Admin,https://www.seek.co.nz/job/50598827?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-10,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
105,Operations Support,https://www.seek.co.nz/job/50605356?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-11,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
106,Office / Client Administrator,https://www.seek.co.nz/job/50590951?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-07,Rodney & North Shore,Auckland,,,
107,Receptionist,https://www.seek.co.nz/job/50613726?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-12,Auckland Central,Auckland,Administration & Office Support,Receptionists,
108,Building Support Services Officer,https://www.seek.co.nz/job/50606335?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-11,New Plymouth,Taranaki,Administration & Office Support,Administrative Assistants,
109,Logistics Administrator,https://www.seek.co.nz/job/50632494?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,2023-05-14,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
110,Receptionist / Office Administration,https://www.seek.co.nz/job/50620963?type=promoted#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,unknown,Christchurch,Canterbury,Administration & Office Support,Receptionists,
111,First Impressions Manager/Administration,https://www.seek.co.nz/job/50504596?type=promoted#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,unknown,Rest of Tasman,Tasman,Administration & Office Support,Receptionists,
112,Office Administrator / Kiripaepae,https://www.seek.co.nz/job/50597146?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-09,Rest of Bay of Plenty,Bay of Plenty,,,$20 - $24.99 per hour
113,Library Assistant,https://www.seek.co.nz/job/50584317?type=standard#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-06,Auckland Central,Auckland,Administration & Office Support,Records Management & Document Control,
114,Gateway Administrator,https://www.seek.co.nz/job/50622030?type=standard#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-13,Wellington Central,Wellington,,,$20 - $24.99 per hour
115,Customer Services & Admin Specialist,https://www.seek.co.nz/job/50597662?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-10,Invercargill,Southland,Administration & Office Support,Client & Sales Administration,
116,Receptionist,https://www.seek.co.nz/job/50599003?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-10,Hamilton,Waikato,Administration & Office Support,Receptionists,
117,Receptionist/Administrator,https://www.seek.co.nz/job/50613709?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-12,Dunedin,Otago,Administration & Office Support,Receptionists,
118,Receptionist,https://www.seek.co.nz/job/50624451?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-13,Tauranga,Bay of Plenty,Administration & Office Support,Receptionists,
119,Client Liaison And Administration Superstar,https://www.seek.co.nz/job/50601202?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-11,Rest of Waikato,Waikato,Administration & Office Support,Client & Sales Administration,
120,Admin Assistant,https://www.seek.co.nz/job/50574918?type=standard#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-05,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
121,Office Assistant - Christchurch,https://www.seek.co.nz/job/50617365?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-12,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
122,Swim School Administrator,https://www.seek.co.nz/job/50614115?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-12,Nelson,Tasman,Administration & Office Support,Administrative Assistants,
123,Judges Personal Assistant,https://www.seek.co.nz/job/50616398?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-12,Manukau & East Auckland,Auckland,,,"$48,835 - $63,221"
124,Office Manager,https://www.seek.co.nz/job/50632238?type=standard#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-14,Wellington Central,Wellington,Administration & Office Support,Office Management,
125,Executive Assistant,https://www.seek.co.nz/job/50629119?type=standard#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-14,Timaru & South Canterbury,Canterbury,Administration & Office Support,"PA, EA & Secretarial",
126,Admin/Reception - Permanent Role,https://www.seek.co.nz/job/50489648?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-10,Hutt Valley,Wellington,Administration & Office Support,Receptionists,
127,Office / Human Resource (Hr) Administrator,https://www.seek.co.nz/job/50622202?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-13,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
128,Service Coordinator,https://www.seek.co.nz/job/50615622?type=standard#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-12,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
129,Receptionist / Administrator - Auckland Wide,https://www.seek.co.nz/job/50610371?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-11,Auckland Central,Auckland,Administration & Office Support,Receptionists,
